Morphology	tau	rheobase_absolute	fI_slope	rheobase_relative	Rin	RMP	AHP	AHP_time	burst_ratio	AP_adaptation	AP_threshold	AP_peak_accomodation_absolute	AP_width_adaptation	firingrate_2xrheobase	iEPSP_peak_1	iEPSP_peak_5	iEPSP_summation	cfADP	sag_percentage	resonant_frequency	trough_impedance	impedance_relative
nm2024_04_02_c3	V2M L5	13.55	119	191	121	91.43	-75.37	-10.22	16.32	2.47	0.18	-48.35	-1.69	1.31	24.77	1.3	2.17	1.67	91.04	19.16	3.3	103.21	1.14
nm2024_04_03_c1	V2M L5	9.86	5	238	60	219.67	-59.53	-14.73	17.03	1.67	0.17	-39.13	1.72	1.24	20.75	2.05	5.09	2.48	-8.36	9.5	0.7	206.72	1.18
nm2024_04_04_c6	V2M L5	8.16	95	373	121	185.22	-71.06	-10.21	6.85	2.65	0.09	-42.82	-2.33	1.34	54.12	2.2	3.81	1.73	-14.07	5.71	0	266.04	1
nm2024_04_04_c7	V2M L5	9.72	131	200	201	71.31	-63.05	-9.4	12.9	2.09	-0.02	-32.54	-5.32	1.53	35.79	1.18	1.43	1.21	-47.82	19.52	5.47	80.04	1.27
nm2024_04_12_c1	V2M L5	10.37	151	334	162	48.09	-70.95	-8.68	8.86	2.24	0.22	-42.18	-4.52	1.28	55.7	1.19	1.38	1.16	133.95	35.82	5.97	61.06	1.37
nm2024_04_15_c1	V2M L5	14.55	40	216	41	318.17	-72.7	-18.1	26.72	1.82	0.36	-40.43	0.27	1.11	10.38	2.73	8.1	2.97	-48.34	13.72	0	356.66	1
nm2024_04_15_c2	V2M L5	7.35	242	236	223	58.42	-75.78	-7.68	7.12	1.61	-0.07	-45.93	-1.64	1.45	62.4	1.13	1.21	1.07	19.66	20.47	7.93	55.79	1.33
nm2024_04_15_c4	V2M L5	4.85	96	378	101	89.81	-72.44	-7.31	7.06	2.06	0.16	-53.4	-1.79	1.26	47.28	1.83	2.45	1.34	59.15	11.85	3.47	133.88	0.99
nm2024_04_17_c0	V2M L5	18.35	46	205	101	120.75	-66.04	-10.32	10.98	1.69	0.05	-45.82	-4.12	1.35	23.96	1.96	4.52	2.31	2.7	40.84	2.7	165.53	1.26
nm2024_04_17_c2	V2M L5	11.55	146	431	142	88.15	-72.3	-4.66	13.19	2.34	0.08	-32.25	-5.06	1.68	50.14	1.74	2.13	1.22	483.68	19.86	5.33	102.97	1.16
nm2024_04_17_c3	V2M L5	17.91	30	282	40	130.34	-64.18	-16.03	24.79	1.37	0	-41.34	-1.87	1.1	11.41	2.16	3.85	1.78	-8.52	15.32	3.87	137.34	1.06
nm2024_04_17_c4	V2M L5	8.11	6	225	81	90.71	-58.8	-12.13	8.57	1.1	-0.11	-42.22	-1.05	1.14	21.54	1.68	2.38	1.42	45.09	13.71	3.83	92.57	1.1
nm2024_04_17_c5	V2M L5	9.49	-53	172	121	98.11	-56.65	-13.16	10.29	1.36	0	-45.38	-0.56	1.28	23.96	1.6	2.64	1.65	6.72	12.07	3.3	105.64	1.08
nm2024_04_18_c0	V2M L5	10.84	-5	591	40	274.07	-68.69	-10.7	8.3	1.26	0.07	-46.23	-5.01	1.13	45.87	9.71	18.63	1.92	-13.19	8.53	1.67	286.5	1.04
nm2024_04_18_c1	V2M L5	14.91	121	143	101	79.07	-76.28	-13.02	21.15	1.17	0.05	-46.1	0.08	1.11	14.12	1.12	1.98	1.77	42.14	14.65	3	88.4	1.09
nm2024_06_06_c0	V2M L2/3	12.4	106	279	61	371.34	-86.03	-13.06	10.22	1.82	0.12	-41.67	-2.28	1.21	36.21	2.62	8.43	3.22	-57.24	1.57	0	507.84	1
nm2024_06_06_c4	V2M L5	10.3	92	447	121	66.1	-70.63	-7.98	11.82	2.39	0.12	-43.8	-11.97	1.71	48.45	1.66	2.1	1.27	61.24	33.41	4.97	74.33	1.3
nm2024_06_06_c6	V2M L2/3	9.39	1	307	40	353.12	-60.21	-14.86	7.46	1.54	0.08	-41.17	-0.52	1.24	20.09	3.39	7.3	2.15	116.78	2.58	0	484.47	1
nm2024_06_07_c1	V2M L2/3	12.13	56	393	61	321.23	-74.22	-12.05	28.49	4.25	0.4	-31.79	-23.28	4.71	24.61	1.78	4.45	2.5	17.13	1.44	0	331.81	1
nm2024_06_11_c3	V2M L2/3	7.54	106	199	81	265.88	-79.87	-9.14	18.15	4.14	0.37	-35.58	-13.5	1.57	29.9	2.15	5.88	2.73	-5.82	0.34	0	305.99	1
nm2024_06_12_c2	V1 L2/3	8.39	77	203	101	161.7	-68.58	-10.66	12.02	1.81	0.14	-38.2	-3.4	1.19	27.53	1.73	3.26	1.88	-37.49	0.4	0.5	184.13	1
nm2024_06_12_c4	V2M L2/3	13.05	6	515	40	298.56	-64.72	-12.44	1.74	2.62	0.31	-41.37	-10.22	1.17	28.03	2.73	7.51	2.75	4.35	17.17	0.5	266.41	1
nm2024_06_12_c5	V2M L2/3	9.13	46	217	61	337.57	-62.22	-10.52	39.18	3.79	0.39	-31.9	-8.21	1.65	17.98	2.3	5.52	2.4	100.82	5.2	0	401.44	1
nm2024_06_12_c6	V2M L2/3	16.52	36	295	40	510.59	-69.65	-14.35	28.42	2.39	0.32	-32.27	-12.67	1.86	17.69	2.88	8.67	3.01	112.09	0.49	0.5	524.76	1
